observation_date,QUSHAM770A
1987-10-01,58.1
1988-01-01,57.9
1988-04-01,58.5
1988-07-01,58.9
1988-10-01,59.2
1989-01-01,58.8
1989-04-01,59.2
1989-07-01,59.5
1989-10-01,60.0
1990-01-01,60.2
1990-04-01,60.5
1990-07-01,60.7
1990-10-01,61.1
1991-01-01,61.1
1991-04-01,61.8
1991-07-01,61.9
1991-10-01,62.6
1992-01-01,62.1
1992-04-01,61.9
1992-07-01,62.1
1992-10-01,62.2
1993-01-01,61.4
1993-04-01,61.7
1993-07-01,62.2
1993-10-01,62.8
1994-01-01,62.4
1994-04-01,62.6
1994-07-01,62.8
1994-10-01,63.5
1995-01-01,63.0
1995-04-01,63.5
1995-07-01,64.3
1995-10-01,64.8
1996-01-01,65.0
1996-04-01,65.3
1996-07-01,65.6
1996-10-01,65.9
1997-01-01,65.3
1997-04-01,65.4
1997-07-01,65.8
1997-10-01,65.9
1998-01-01,65.6
1998-04-01,66.3
1998-07-01,66.8
1998-10-01,67.4
1999-01-01,67.4
1999-04-01,68.0
1999-07-01,68.7
1999-10-01,69.4
2000-01-01,69.4
2000-04-01,69.6
2000-07-01,70.3
2000-10-01,70.7
2001-01-01,70.5
2001-04-01,71.8
2001-07-01,73.7
2001-10-01,74.6
2002-01-01,75.2
2002-04-01,76.5
2002-07-01,77.8
2002-10-01,79.3
2003-01-01,80.3
2003-04-01,83.0
2003-07-01,84.2
2003-10-01,85.1
2004-01-01,85.4
2004-04-01,86.6
2004-07-01,87.5
2004-10-01,89.1
2005-01-01,89.2
2005-04-01,90.3
2005-07-01,91.6
2005-10-01,92.4
2006-01-01,93.7
2006-04-01,94.9
2006-07-01,96.0
2006-10-01,96.6
2007-01-01,96.8
2007-04-01,97.8
2007-07-01,98.2
2007-10-01,98.4
2008-01-01,98.4
2008-04-01,97.3
2008-07-01,97.6
2008-10-01,95.9
2009-01-01,95.7
2009-04-01,96.2
2009-07-01,96.9
2009-10-01,96.7
2010-01-01,95.5
2010-04-01,94.1
2010-07-01,92.6
2010-10-01,91.5
2011-01-01,90.4
2011-04-01,89.2
2011-07-01,88.4
2011-10-01,87.6
2012-01-01,86.2
2012-04-01,85.1
2012-07-01,84.3
2012-10-01,83.4
2013-01-01,82.4
2013-04-01,81.9
2013-07-01,81.5
2013-10-01,81.5
2014-01-01,80.8
2014-04-01,80.3
2014-07-01,79.2
2014-10-01,78.7
2015-01-01,77.6
2015-04-01,77.5
2015-07-01,77.5
2015-10-01,76.9
2016-01-01,76.5
2016-04-01,76.8
2016-07-01,77.2
2016-10-01,77.0
2017-01-01,76.6
2017-04-01,76.6
2017-07-01,76.6
2017-10-01,76.7
2018-01-01,75.9
2018-04-01,75.4
2018-07-01,75.2
2018-10-01,75.0
2019-01-01,74.4
2019-04-01,74.6
2019-07-01,74.7
2019-10-01,74.7
2020-01-01,74.2
2020-04-01,75.4
2020-07-01,76.6
2020-10-01,77.7
2021-01-01,77.6
2021-04-01,77.8
2021-07-01,77.4
2021-10-01,76.7
2022-01-01,75.9
2022-04-01,75.6
2022-07-01,75.1
2022-10-01,74.5
2023-01-01,73.3
2023-04-01,72.8
2023-07-01,72.2
2023-10-01,71.8
2024-01-01,71.0
2024-04-01,70.6
2024-07-01,70.3
2024-10-01,69.3
2025-01-01,68.5
2025-04-01,68.3
2025-07-01,68.2
2025-10-01,68.1
