observation_date,MANEMP
1959-11-01,15300
1959-12-01,15573
1960-01-01,15687
1960-02-01,15765
1960-03-01,15707
1960-04-01,15654
1960-05-01,15575
1960-06-01,15466
1960-07-01,15413
1960-08-01,15360
1960-09-01,15330
1960-10-01,15231
1960-11-01,15112
1960-12-01,14947
1961-01-01,14863
1961-02-01,14801
1961-03-01,14802
1961-04-01,14825
1961-05-01,14932
1961-06-01,14981
1961-07-01,15029
1961-08-01,15093
1961-09-01,15080
1961-10-01,15143
1961-11-01,15259
1961-12-01,15309
1962-01-01,15322
1962-02-01,15411
1962-03-01,15451
1962-04-01,15524
1962-05-01,15513
1962-06-01,15518
1962-07-01,15522
1962-08-01,15517
1962-09-01,15568
1962-10-01,15569
1962-11-01,15530
1962-12-01,15520
1963-01-01,15545
1963-02-01,15542
1963-03-01,15564
1963-04-01,15602
1963-05-01,15641
1963-06-01,15624
1963-07-01,15646
1963-08-01,15644
1963-09-01,15674
1963-10-01,15714
1963-11-01,15675
1963-12-01,15712
1964-01-01,15715
1964-02-01,15742
1964-03-01,15770
1964-04-01,15785
1964-05-01,15812
1964-06-01,15839
1964-07-01,15887
1964-08-01,15948
1964-09-01,16073
1964-10-01,15821
1964-11-01,16096
1964-12-01,16176
1965-01-01,16245
1965-02-01,16291
1965-03-01,16353
1965-04-01,16418
1965-05-01,16477
1965-06-01,16554
1965-07-01,16669
1965-08-01,16732
1965-09-01,16802
1965-10-01,16864
1965-11-01,16962
1965-12-01,17051
1966-01-01,17143
1966-02-01,17288
1966-03-01,17400
1966-04-01,17517
1966-05-01,17625
1966-06-01,17733
1966-07-01,17760
1966-08-01,17882
1966-09-01,17886
1966-10-01,17956
1966-11-01,17981
1966-12-01,17998
1967-01-01,18033
1967-02-01,17978
1967-03-01,17940
1967-04-01,17878
1967-05-01,17832
1967-06-01,17812
1967-07-01,17784
1967-08-01,17905
1967-09-01,17794
1967-10-01,17800
1967-11-01,17985
1967-12-01,18025
1968-01-01,18040
1968-02-01,18054
1968-03-01,18067
1968-04-01,18131
1968-05-01,18190
1968-06-01,18228
1968-07-01,18265
1968-08-01,18254
1968-09-01,18252
1968-10-01,18293
1968-11-01,18346
1968-12-01,18410
1969-01-01,18432
1969-02-01,18502
1969-03-01,18558
1969-04-01,18554
1969-05-01,18588
1969-06-01,18640
1969-07-01,18642
1969-08-01,18767
1969-09-01,18620
1969-10-01,18613
1969-11-01,18467
1969-12-01,18485
1970-01-01,18424
1970-02-01,18361
1970-03-01,18360
1970-04-01,18207
1970-05-01,18029
1970-06-01,17930
1970-07-01,17877
1970-08-01,17779
1970-09-01,17692
1970-10-01,17173
1970-11-01,17024
1970-12-01,17309
1971-01-01,17280
1971-02-01,17216
1971-03-01,17154
1971-04-01,17149
1971-05-01,17225
1971-06-01,17139
1971-07-01,17126
1971-08-01,17115
1971-09-01,17154
1971-10-01,17126
1971-11-01,17166
1971-12-01,17202
1972-01-01,17283
1972-02-01,17361
1972-03-01,17447
1972-04-01,17508
1972-05-01,17602
1972-06-01,17641
1972-07-01,17556
1972-08-01,17741
1972-09-01,17774
1972-10-01,17893
1972-11-01,18005
1972-12-01,18158
1973-01-01,18276
1973-02-01,18410
1973-03-01,18493
1973-04-01,18530
1973-05-01,18564
1973-06-01,18606
1973-07-01,18598
1973-08-01,18629
1973-09-01,18609
1973-10-01,18702
1973-11-01,18773
1973-12-01,18820
1974-01-01,18788
1974-02-01,18727
1974-03-01,18700
1974-04-01,18702
1974-05-01,18688
1974-06-01,18690
1974-07-01,18656
1974-08-01,18570
1974-09-01,18492
1974-10-01,18364
1974-11-01,18077
1974-12-01,17693
1975-01-01,17344
1975-02-01,17004
1975-03-01,16853
1975-04-01,16759
1975-05-01,16746
1975-06-01,16690
1975-07-01,16678
1975-08-01,16824
1975-09-01,16904
1975-10-01,16984
1975-11-01,17025
1975-12-01,17140
1976-01-01,17287
1976-02-01,17384
1976-03-01,17470
1976-04-01,17541
1976-05-01,17513
1976-06-01,17521
1976-07-01,17524
1976-08-01,17596
1976-09-01,17665
1976-10-01,17548
1976-11-01,17682
1976-12-01,17719
1977-01-01,17803
1977-02-01,17843
1977-03-01,17941
1977-04-01,18024
1977-05-01,18107
1977-06-01,18192
1977-07-01,18259
1977-08-01,18276
1977-09-01,18334
1977-10-01,18356
1977-11-01,18419
1977-12-01,18531
1978-01-01,18593
1978-02-01,18639
1978-03-01,18699
1978-04-01,18772
1978-05-01,18848
1978-06-01,18919
1978-07-01,18951
1978-08-01,19006
1978-09-01,19068
1978-10-01,19142
1978-11-01,19257
1978-12-01,19334
1979-01-01,19388
1979-02-01,19409
1979-03-01,19453
1979-04-01,19450
1979-05-01,19509
1979-06-01,19553
1979-07-01,19531
1979-08-01,19406
1979-09-01,19442
1979-10-01,19390
1979-11-01,19299
1979-12-01,19301
1980-01-01,19282
1980-02-01,19219
1980-03-01,19217
1980-04-01,18973
1980-05-01,18726
1980-06-01,18490
1980-07-01,18276
1980-08-01,18414
1980-09-01,18445
1980-10-01,18506
1980-11-01,18601
1980-12-01,18640
1981-01-01,18639
1981-02-01,18613
1981-03-01,18647
1981-04-01,18711
1981-05-01,18766
1981-06-01,18789
1981-07-01,18785
1981-08-01,18748
1981-09-01,18712
1981-10-01,18566
1981-11-01,18409
1981-12-01,18223
1982-01-01,18047
1982-02-01,17981
1982-03-01,17857
1982-04-01,17683
1982-05-01,17588
1982-06-01,17430
1982-07-01,17278
1982-08-01,17160
1982-09-01,17074
1982-10-01,16853
1982-11-01,16722
1982-12-01,16690
1983-01-01,16705
1983-02-01,16706
1983-03-01,16711
1983-04-01,16794
1983-05-01,16885
1983-06-01,16960
1983-07-01,17059
1983-08-01,17118
1983-09-01,17255
1983-10-01,17367
1983-11-01,17479
1983-12-01,17551
1984-01-01,17630
1984-02-01,17728
1984-03-01,17806
1984-04-01,17872
1984-05-01,17916
1984-06-01,17967
1984-07-01,18013
1984-08-01,18034
1984-09-01,18019
1984-10-01,18024
1984-11-01,18016
1984-12-01,18023
1985-01-01,18009
1985-02-01,17966
1985-03-01,17939
1985-04-01,17886
1985-05-01,17855
1985-06-01,17819
1985-07-01,17776
1985-08-01,17756
1985-09-01,17718
1985-10-01,17708
1985-11-01,17697
1985-12-01,17693
1986-01-01,17686
1986-02-01,17663
1986-03-01,17624
1986-04-01,17616
1986-05-01,17593
1986-06-01,17530
1986-07-01,17497
1986-08-01,17489
1986-09-01,17498
1986-10-01,17477
1986-11-01,17472
1986-12-01,17478
1987-01-01,17465
1987-02-01,17499
1987-03-01,17507
1987-04-01,17525
1987-05-01,17542
1987-06-01,17537
1987-07-01,17593
1987-08-01,17630
1987-09-01,17691
1987-10-01,17729
1987-11-01,17775
1987-12-01,17809
1988-01-01,17790
1988-02-01,17823
1988-03-01,17844
1988-04-01,17874
1988-05-01,17892
1988-06-01,17916
1988-07-01,17926
1988-08-01,17891
1988-09-01,17914
1988-10-01,17966
1988-11-01,18003
1988-12-01,18025
1989-01-01,18057
1989-02-01,18055
1989-03-01,18060
1989-04-01,18055
1989-05-01,18040
1989-06-01,18013
1989-07-01,17980
1989-08-01,17964
1989-09-01,17922
1989-10-01,17895
1989-11-01,17886
1989-12-01,17881
1990-01-01,17797
1990-02-01,17893
1990-03-01,17868
1990-04-01,17845
1990-05-01,17796
1990-06-01,17775
1990-07-01,17703
1990-08-01,17650
1990-09-01,17609
1990-10-01,17577
1990-11-01,17428
1990-12-01,17395
1991-01-01,17330
1991-02-01,17213
1991-03-01,17140
1991-04-01,17093
1991-05-01,17071
1991-06-01,17045
1991-07-01,17015
1991-08-01,17026
1991-09-01,17010
1991-10-01,16999
1991-11-01,16961
1991-12-01,16917
1992-01-01,16839
1992-02-01,16828
1992-03-01,16805
1992-04-01,16830
1992-05-01,16835
1992-06-01,16826
1992-07-01,16820
1992-08-01,16782
1992-09-01,16760
1992-10-01,16751
1992-11-01,16758
1992-12-01,16770
1993-01-01,16790
1993-02-01,16804
1993-03-01,16795
1993-04-01,16772
1993-05-01,16766
1993-06-01,16742
1993-07-01,16740
1993-08-01,16740
1993-09-01,16770
1993-10-01,16778
1993-11-01,16800
1993-12-01,16815
1994-01-01,16855
1994-02-01,16862
1994-03-01,16897
1994-04-01,16933
1994-05-01,16961
1994-06-01,17009
1994-07-01,17025
1994-08-01,17081
1994-09-01,17114
1994-10-01,17144
1994-11-01,17186
1994-12-01,17218
1995-01-01,17262
1995-02-01,17266
1995-03-01,17263
1995-04-01,17278
1995-05-01,17258
1995-06-01,17247
1995-07-01,17218
1995-08-01,17240
1995-09-01,17247
1995-10-01,17216
1995-11-01,17208
1995-12-01,17231
1996-01-01,17208
1996-02-01,17230
1996-03-01,17193
1996-04-01,17204
1996-05-01,17222
1996-06-01,17226
1996-07-01,17222
1996-08-01,17256
1996-09-01,17251
1996-10-01,17268
1996-11-01,17277
1996-12-01,17284
1997-01-01,17297
1997-02-01,17315
1997-03-01,17340
1997-04-01,17351
1997-05-01,17364
1997-06-01,17387
1997-07-01,17388
1997-08-01,17453
1997-09-01,17465
1997-10-01,17514
1997-11-01,17556
1997-12-01,17587
1998-01-01,17619
1998-02-01,17627
1998-03-01,17637
1998-04-01,17637
1998-05-01,17624
1998-06-01,17607
1998-07-01,17423
1998-08-01,17563
1998-09-01,17557
1998-10-01,17512
1998-11-01,17466
1998-12-01,17449
1999-01-01,17427
1999-02-01,17395
1999-03-01,17368
1999-04-01,17343
1999-05-01,17333
1999-06-01,17294
1999-07-01,17308
1999-08-01,17287
1999-09-01,17282
1999-10-01,17274
1999-11-01,17282
1999-12-01,17279
2000-01-01,17284
2000-02-01,17284
2000-03-01,17302
2000-04-01,17299
2000-05-01,17278
2000-06-01,17295
2000-07-01,17322
2000-08-01,17287
2000-09-01,17229
2000-10-01,17217
2000-11-01,17202
2000-12-01,17181
2001-01-01,17105
2001-02-01,17030
2001-03-01,16938
2001-04-01,16802
2001-05-01,16660
2001-06-01,16513
2001-07-01,16381
2001-08-01,16233
2001-09-01,16116
2001-10-01,15973
2001-11-01,15825
2001-12-01,15712
2002-01-01,15588
2002-02-01,15518
2002-03-01,15443
2002-04-01,15392
2002-05-01,15338
2002-06-01,15297
2002-07-01,15256
2002-08-01,15171
2002-09-01,15119
2002-10-01,15059
2002-11-01,14992
2002-12-01,14911
2003-01-01,14867
2003-02-01,14780
2003-03-01,14721
2003-04-01,14608
2003-05-01,14558
2003-06-01,14493
2003-07-01,14403
2003-08-01,14376
2003-09-01,14346
2003-10-01,14334
2003-11-01,14316
2003-12-01,14299
2004-01-01,14291
2004-02-01,14279
2004-03-01,14287
2004-04-01,14315
2004-05-01,14342
2004-06-01,14334
2004-07-01,14331
2004-08-01,14345
2004-09-01,14332
2004-10-01,14332
2004-11-01,14306
2004-12-01,14285
2005-01-01,14257
2005-02-01,14272
2005-03-01,14268
2005-04-01,14249
2005-05-01,14255
2005-06-01,14227
2005-07-01,14225
2005-08-01,14200
2005-09-01,14173
2005-10-01,14189
2005-11-01,14184
2005-12-01,14189
2006-01-01,14208
2006-02-01,14208
2006-03-01,14210
2006-04-01,14223
2006-05-01,14200
2006-06-01,14210
2006-07-01,14185
2006-08-01,14154
2006-09-01,14120
2006-10-01,14068
2006-11-01,14034
2006-12-01,14009
2007-01-01,14004
2007-02-01,13993
2007-03-01,13964
2007-04-01,13939
2007-05-01,13922
2007-06-01,13903
2007-07-01,13881
2007-08-01,13821
2007-09-01,13784
2007-10-01,13756
2007-11-01,13751
2007-12-01,13739
2008-01-01,13717
2008-02-01,13690
2008-03-01,13650
2008-04-01,13589
2008-05-01,13555
2008-06-01,13494
2008-07-01,13419
2008-08-01,13348
2008-09-01,13267
2008-10-01,13138
2008-11-01,13026
2008-12-01,12842
2009-01-01,12552
2009-02-01,12371
2009-03-01,12196
2009-04-01,12017
2009-05-01,11850
2009-06-01,11713
2009-07-01,11654
2009-08-01,11612
2009-09-01,11580
2009-10-01,11527
2009-11-01,11498
2009-12-01,11465
2010-01-01,11447
2010-02-01,11439
2010-03-01,11439
2010-04-01,11475
2010-05-01,11511
2010-06-01,11529
2010-07-01,11546
2010-08-01,11538
2010-09-01,11549
2010-10-01,11548
2010-11-01,11571
2010-12-01,11579
2011-01-01,11606
2011-02-01,11637
2011-03-01,11659
2011-04-01,11689
2011-05-01,11697
2011-06-01,11710
2011-07-01,11729
2011-08-01,11748
2011-09-01,11752
2011-10-01,11762
2011-11-01,11753
2011-12-01,11783
2012-01-01,11820
2012-02-01,11841
2012-03-01,11880
2012-04-01,11897
2012-05-01,11908
2012-06-01,11918
2012-07-01,11944
2012-08-01,11940
2012-09-01,11934
2012-10-01,11941
2012-11-01,11930
2012-12-01,11939
2013-01-01,11962
2013-02-01,11974
2013-03-01,11977
2013-04-01,11978
2013-05-01,11978
2013-06-01,11982
2013-07-01,11962
2013-08-01,11992
2013-09-01,12010
2013-10-01,12033
2013-11-01,12054
2013-12-01,12060
2014-01-01,12058
2014-02-01,12084
2014-03-01,12096
2014-04-01,12109
2014-05-01,12120
2014-06-01,12146
2014-07-01,12165
2014-08-01,12182
2014-09-01,12201
2014-10-01,12233
2014-11-01,12260
2014-12-01,12266
2015-01-01,12265
2015-02-01,12275
2015-03-01,12286
2015-04-01,12291
2015-05-01,12306
2015-06-01,12307
2015-07-01,12323
2015-08-01,12318
2015-09-01,12326
2015-10-01,12334
2015-11-01,12329
2015-12-01,12333
2016-01-01,12354
2016-02-01,12337
2016-03-01,12313
2016-04-01,12325
2016-05-01,12303
2016-06-01,12321
2016-07-01,12342
2016-08-01,12319
2016-09-01,12317
2016-10-01,12316
2016-11-01,12311
2016-12-01,12324
2017-01-01,12334
2017-02-01,12350
2017-03-01,12361
2017-04-01,12367
2017-05-01,12377
2017-06-01,12390
2017-07-01,12390
2017-08-01,12435
2017-09-01,12443
2017-10-01,12457
2017-11-01,12472
2017-12-01,12501
2018-01-01,12527
2018-02-01,12551
2018-03-01,12576
2018-04-01,12595
2018-05-01,12623
2018-06-01,12656
2018-07-01,12676
2018-08-01,12688
2018-09-01,12710
2018-10-01,12731
2018-11-01,12741
2018-12-01,12761
2019-01-01,12790
2019-02-01,12782
2019-03-01,12788
2019-04-01,12785
2019-05-01,12778
2019-06-01,12787
2019-07-01,12790
2019-08-01,12789
2019-09-01,12787
2019-10-01,12733
2019-11-01,12777
2019-12-01,12760
2020-01-01,12745
2020-02-01,12743
2020-03-01,12684
2020-04-01,11382
2020-05-01,11610
2020-06-01,11950
2020-07-01,11973
2020-08-01,11999
2020-09-01,12057
2020-10-01,12086
2020-11-01,12118
2020-12-01,12153
2021-01-01,12142
2021-02-01,12172
2021-03-01,12229
2021-04-01,12193
2021-05-01,12216
2021-06-01,12247
2021-07-01,12305
2021-08-01,12353
2021-09-01,12393
2021-10-01,12453
2021-11-01,12498
2021-12-01,12537
2022-01-01,12564
2022-02-01,12601
2022-03-01,12674
2022-04-01,12726
2022-05-01,12735
2022-06-01,12767
2022-07-01,12800
2022-08-01,12832
2022-09-01,12849
2022-10-01,12883
2022-11-01,12896
2022-12-01,12895
2023-01-01,12903
2023-02-01,12898
2023-03-01,12888
2023-04-01,12884
2023-05-01,12869
2023-06-01,12875
2023-07-01,12862
2023-08-01,12861
2023-09-01,12872
2023-10-01,12837
2023-11-01,12859
2023-12-01,12872
2024-01-01,12875
2024-02-01,12852
2024-03-01,12836
2024-04-01,12833
2024-05-01,12825
2024-06-01,12814
2024-07-01,12806
2024-08-01,12772
2024-09-01,12758
2024-10-01,12697
2024-11-01,12711
2024-12-01,12693
2025-01-01,12673
2025-02-01,12671
2025-03-01,12666
2025-04-01,12662
2025-05-01,12651
2025-06-01,12636
2025-07-01,12625
2025-08-01,12615
2025-09-01,12612
2025-10-01,12603
2025-11-01,12593
2025-12-01,12580
2026-01-01,12582
2026-02-01,12583
2026-03-01,12598
2026-04-01,12597
2026-05-01,12595
2026-06-01,12608
2026-07-01,12622
2026-08-01,12638
